x_l,y_l,x_r,y_r
542.6738459051063,-1586.9461930093494,547.2483563164778,-1594.5140529113464
546.9719863896485,-1584.3572029705829,551.5280922423188,-1591.9583175901148
551.2436114645926,-1581.777984656729,555.8314018066933,-1589.382216424431
555.4963512290325,-1579.1827829194922,560.1307513562579,-1586.782133974732
559.7342377300455,-1576.5684380768103,564.4183033106868,-1584.1584374599624
563.953914837427,-1573.9316007290313,568.692774832302,-1581.5111077676831
568.1536985296796,-1571.2714174190867,572.951228522497,-1578.8376177183131
572.3336340274001,-1568.586273735776,577.189553748187,-1576.1365434438906
576.4959933926555,-1565.873990604248,581.4073158560462,-1573.4122212096747
580.6457865474721,-1563.1384747698173,585.6053118192289,-1570.6666441408402
584.8025606632995,-1560.4076260936442,589.8008085088466,-1567.9245568153208
588.9555744221537,-1557.6634499656332,593.9852357188397,-1565.1714374616683
593.1049150935785,-1554.9047766419048,598.1592358198361,-1562.4070401667434
597.2528595782372,-1552.1337964822712,602.326207686868,-1559.635281333196
601.4022416367725,-1549.3535458386054,606.4878718866428,-1556.8575840822184
605.5558941386919,-1546.5670694273497,610.6476229160687,-1554.0778466213312
609.7295489566174,-1543.7964672423395,614.797644331778,-1551.2833952016747
613.9168821577579,-1541.0389249963062,618.9488852049989,-1548.4814515385872
618.0813344312577,-1538.2982954795227,623.1306251263899,-1545.6588755841105
