x_l,y_l,x_r,y_r
-197.08253733547085,303.380571386078,-185.43764078924391,310.8396346937375
-199.8961247589307,307.8960682069663,-187.9344741367957,314.8178681458533
-202.5181958019706,312.8905006310956,-189.90863509933635,318.6796805286789
-204.54083789369346,318.5218037691756,-190.79675586261627,322.51707323731176
-205.67082384146948,324.738127851608,-191.82737964405254,325.6880903524487
-205.2819673504286,331.3342312788133,-192.56048792623812,328.7565654238394
-203.14522720645198,337.56892686450146,-191.14015254772184,331.89119999203604
-199.74931162919083,342.88722068308357,-189.04012894634513,335.3424604970049
-195.52332038984275,347.84747694010395,-186.03234762098631,337.58697184041097
-189.19585339439448,352.3796540371926,-184.75137140268976,337.9537882113431
-181.470974416873,353.0712478799349,-183.6812531277965,337.33067314392105
-175.43644899770996,352.08326032466033,-180.26719162321996,336.42342412864343
-170.3109509343254,350.3805293362178,-176.0641155354355,334.99713331737547
-165.38267588348003,348.40197169797557,-171.7642989376715,333.28692832409763
-160.6102366321523,346.29935312838126,-167.3650614667935,331.36382483329527
