i,outer_lat,outer_lon,inner_lat,inner_lon
0,42.71473593861646,23.275936309022764,42.71474177505956,23.276036008267074
1,42.71472688091246,23.27594012263397,42.71476211508434,23.276027452737726
2,42.714753302118986,23.275927278440644,42.71476006251966,23.27602816059249
3,42.71476081178071,23.275922693182746,42.71478910410381,23.276012589465534
4,42.71477346402039,23.275913867181604,42.71480073255437,23.276004815417338
5,42.714790993950494,23.275899383849037,42.71481178371046,23.27599673325714
6,42.71480684408638,23.27588373108477,42.714822017783206,23.275988379598466
7,42.71482125996801,23.27586722440307,42.71483169349607,23.27597997925861
8,42.714834415695655,23.275850073696635,42.71484793665021,23.275964141061415
9,42.71484639049789,23.275832449908975,42.71486295169627,23.275947552433202
10,42.71485738693274,23.275814472384855,42.71487591950026,23.275931676444202
11,42.714867463173704,23.275796230303918,42.714883672964596,23.275921388801667
12,42.71488092291292,23.275768891169168,42.71489608499515,23.275903545904498
13,42.71489301413013,23.275740918876117,42.71491351952483,23.275875547263677
14,42.71490008837057,23.275722751571685,42.71491817999414,23.2758673720023
15,42.7149066471989,23.27570460866035,42.71493354295459,23.275838179932666
16,42.71491612337175,23.27567564465552,42.71493214462545,23.275840859312623
17,42.71492145970719,23.27565769110428,42.71493594092995,23.275832919436855
18,42.71492637934797,23.275639850263453,42.71493971105857,23.27582535675401
19,42.714930950027835,23.275622077450777,42.71495300322934,23.27579516791456
20,42.71493788076584,23.275592400767636,42.71495596092318,23.27578785892247
21,42.71494080873474,23.275578735035154,42.71496344361034,23.275768986334267
22,42.71494510392043,23.27555707214189,42.71497355648683,23.275740751248822
23,42.71494606102072,23.27555199072176,42.714976721283506,23.27573120435438
24,42.714949626889364,23.275531885218037,42.714982761884755,23.275712236317897
25,42.71495202728026,23.275517226907688,42.71498839726205,23.275693282923264
26,42.71495648391584,23.27548707893157,42.71499621532112,23.27566452466636
27,42.71495710272009,23.275482575926965,42.71499509720995,23.275668564397296
28,42.714960920874404,23.275452340191084,42.71500307231137,23.27563665385238
29,42.714963754363346,23.27542612614044,42.71500438274025,23.275630941815134
30,42.71496458041853,23.275417770806538,42.71500661213302,23.275620988293976
31,42.71496614671429,23.27540049244734,42.715012401042515,23.275593274561306
32,42.71496829779509,23.275373368310788,42.71501340238255,23.275588051855078
33,42.714969673827234,23.2753528190192,42.7150193587595,23.27555560596092
34,42.71496991615061,23.275348644486897,42.71502244665851,23.27553679863932
35,42.71497152919847,23.275318211118815,42.7150253018523,23.275518005033437
36,42.71497224610696,23.2753008449578,42.715027720560236,23.275500907764908
37,42.714972843112115,23.275283437985944,42.71503034313052,23.275480423112867
38,42.714973548033115,23.275255026247915,42.71503091013447,23.275475595457024
39,42.71497384348638,23.275235493571085,42.715032809317385,23.27545957056682
40,42.714974018897415,23.27520501779543,42.715035099897335,23.275437999122524
41,42.71497387004995,23.275174541859645,42.71503687831842,23.27541915992396
42,42.71497364080255,23.275156680903617,42.715039573950584,23.275386281576836
43,42.7149730175306,23.275126210958835,42.71503885109672,23.2753953789519
44,42.71497287700196,23.275120682679496,42.71504119391548,23.27536247360537
45,42.71497231349194,23.275100764511233,42.715043002657325,23.275329534549826
46,42.71497176211563,23.275084423900193,42.715042563249796,23.275338331032618
47,42.7149715382849,23.275078342966975,42.71504354812157,23.27531766914847
48,42.714970312590445,23.27504789124137,42.7150446380262,23.275286271541574
49,42.714970030587594,23.275041513513838,42.71504503798558,23.275273308849265
